,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,Number of bugs
3409,L5545,InputFormatProvider.java,community/server/src/main/java/org/neo4j/server/rest/repr/InputFormatProvider.java,L5534,2,0,32,6,0,5,268,0
3410,L5546,MapRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/MapRepresentation.java,L5534,6,0,24,2,0,2,257,0
3411,L5547,MediaTypeNotSupportedException.java,community/server/src/main/java/org/neo4j/server/rest/repr/MediaTypeNotSupportedException.java,L5534,6,0,60,7,0,4,2319,0
3412,L5548,NodeAutoIndexRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/NodeAutoIndexRepresentation.java,L5534,1,0,17,7,0,4,5350,0
3413,L5549,NodeIndexRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/NodeIndexRepresentation.java,L5534,1,0,18,5,0,4,2319,0
3414,L5550,NodeIndexRootRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/NodeIndexRootRepresentation.java,L5534,2,0,24,5,0,4,2319,0
3415,L5551,NodeRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/NodeRepresentation.java,L5534,2,0,115,8,0,5,5350,0
3416,L5552,ObjectRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ObjectRepresentation.java,L5534,13,0,119,9,0,7,5350,0
3417,L5553,ObjectToRepresentationConverter.java,community/server/src/main/java/org/neo4j/server/rest/repr/ObjectToRepresentationConverter.java,L5534,14,0,101,14,0,8,1634,0
3418,L5554,OutputFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/OutputFormat.java,L5534,7,0,150,28,0,12,310,0
3419,L5555,OutputFormatProvider.java,community/server/src/main/java/org/neo4j/server/rest/repr/OutputFormatProvider.java,L5534,13,0,135,14,0,7,1126,0
3420,L5556,PathRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/PathRepresentation.java,L5534,1,0,59,10,0,7,2319,0
3421,L5557,PropertiesRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/PropertiesRepresentation.java,L5534,10,0,200,5,0,4,2319,0
3422,L5558,RelationshipAutoIndexRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/RelationshipAutoIndexRepresentation.java,L5534,1,0,17,7,0,4,5350,0
3423,L5559,RelationshipIndexRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/RelationshipIndexRepresentation.java,L5534,1,0,18,3,0,2,1296,0
3424,L5560,RelationshipIndexRootRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/RelationshipIndexRootRepresentation.java,L5534,2,0,22,5,0,4,2319,0
3425,L5561,RelationshipRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/RelationshipRepresentation.java,L5534,1,0,79,5,0,4,2319,0
3426,L5562,RepresentationExceptionHandlingIterable.java,community/server/src/main/java/org/neo4j/server/rest/repr/RepresentationExceptionHandlingIterable.java,L5534,4,0,27,3,0,3,5350,0
3427,L5563,RepresentationFormatRepository.java,community/server/src/main/java/org/neo4j/server/rest/repr/RepresentationFormatRepository.java,L5534,16,0,99,10,0,6,5350,0
3428,L5564,ScoredEntityRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ScoredEntityRepresentation.java,L5534,1,0,39,3,0,2,5350,0
3429,L5565,ScoredNodeRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ScoredNodeRepresentation.java,L5534,1,0,64,4,0,3,2319,0
3430,L5566,ScoredRelationshipRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ScoredRelationshipRepresentation.java,L5534,1,0,40,3,0,2,5350,0
3431,L5567,ServerExtensionRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ServerExtensionRepresentation.java,L5534,5,0,52,5,0,4,2319,0
3432,L5568,ServerListRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/ServerListRepresentation.java,L5534,9,0,24,1,0,1,1634,0
3433,L5569,StreamingFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/StreamingFormat.java,L5534,1,0,11,3,0,1,268,0
3434,L5570,WeightedPathRepresentation.java,community/server/src/main/java/org/neo4j/server/rest/repr/WeightedPathRepresentation.java,L5534,1,0,14,8,0,6,2319,0
3435,L8636,AllowAjaxFilter.java,community/server/src/main/java/org/neo4j/server/rest/web/AllowAjaxFilter.java,L8635,5,0,38,5,0,4,2319,0
3436,L8637,BatchOperationService.java,community/server/src/main/java/org/neo4j/server/rest/web/BatchOperationService.java,L8635,9,0,117,55,0,12,533,0
3437,L8638,CollectUserAgentFilter.java,community/server/src/main/java/org/neo4j/server/rest/web/CollectUserAgentFilter.java,L8635,6,0,38,2,0,2,2472,0
3438,L8639,CypherService.java,community/server/src/main/java/org/neo4j/server/rest/web/CypherService.java,L8635,5,0,53,17,0,9,2319,0
3439,L8640,DatabaseActions.java,community/server/src/main/java/org/neo4j/server/rest/web/DatabaseActions.java,L8635,71,0,1277,109,0,16,2472,1
3440,L8641,DatabaseMetadataService.java,community/server/src/main/java/org/neo4j/server/rest/web/DatabaseMetadataService.java,L8635,2,0,43,11,0,6,533,0
3441,L8642,ExtensionService.java,community/server/src/main/java/org/neo4j/server/rest/web/ExtensionService.java,L8635,28,0,291,26,0,10,533,0
3442,L8643,InternalJettyServletRequest.java,community/server/src/main/java/org/neo4j/server/rest/web/InternalJettyServletRequest.java,L8635,10,0,219,11,0,5,268,0
3443,L8644,InternalJettyServletResponse.java,community/server/src/main/java/org/neo4j/server/rest/web/InternalJettyServletResponse.java,L8635,8,0,212,9,0,6,2319,0
3444,L8645,NoSuchPropertyException.java,community/server/src/main/java/org/neo4j/server/rest/web/NoSuchPropertyException.java,L8635,1,0,10,3,0,2,1296,0
3445,L8646,OperationFailureException.java,community/server/src/main/java/org/neo4j/server/rest/web/OperationFailureException.java,L8635,1,0,9,10,0,5,2319,0
3446,L8647,PathNotFoundException.java,community/server/src/main/java/org/neo4j/server/rest/web/PathNotFoundException.java,L8635,1,0,5,3,0,2,1296,0
3447,L8648,PropertyValueException.java,community/server/src/main/java/org/neo4j/server/rest/web/PropertyValueException.java,L8635,1,0,22,3,0,2,1296,0
3448,L8649,ResourcesService.java,community/server/src/main/java/org/neo4j/server/rest/web/ResourcesService.java,L8635,7,0,90,7,0,4,2319,0
3449,L8650,RestfulGraphDatabase.java,community/server/src/main/java/org/neo4j/server/rest/web/RestfulGraphDatabase.java,L8635,143,0,1292,112,0,19,310,0
3450,L8651,StreamingBatchOperations.java,community/server/src/main/java/org/neo4j/server/rest/web/StreamingBatchOperations.java,L8635,4,0,74,6,0,3,2472,0
3451,L11816,Clock.java,community/server/src/main/java/org/neo4j/server/rest/paging/Clock.java,L11815,1,0,5,1,0,1,1126,0
3452,L11817,Leasable.java,community/server/src/main/java/org/neo4j/server/rest/paging/Leasable.java,L11815,1,0,4,1,0,1,1126,0
3453,L11818,Lease.java,community/server/src/main/java/org/neo4j/server/rest/paging/Lease.java,L11815,3,0,56,2,0,1,1126,0
3454,L11819,LeaseAlreadyExpiredException.java,community/server/src/main/java/org/neo4j/server/rest/paging/LeaseAlreadyExpiredException.java,L11815,1,0,9,3,0,2,2319,0
3455,L11820,LeaseManager.java,community/server/src/main/java/org/neo4j/server/rest/paging/LeaseManager.java,L11815,7,0,64,3,0,1,1126,0
3456,L11821,LeaseManagerProvider.java,community/server/src/main/java/org/neo4j/server/rest/paging/LeaseManagerProvider.java,L11815,1,0,19,7,0,4,2472,0
3457,L11822,PagedTraverser.java,community/server/src/main/java/org/neo4j/server/rest/paging/PagedTraverser.java,L11815,4,0,51,3,0,2,2319,0
3458,L11823,RealClock.java,community/server/src/main/java/org/neo4j/server/rest/paging/RealClock.java,L11815,1,0,9,1,0,1,1126,0
3459,L12283,AuthenticationException.java,community/server/src/main/java/org/neo4j/server/rest/security/AuthenticationException.java,L12282,1,0,15,4,0,4,7,0
3460,L12284,AuthenticationExceptionMapper.java,community/server/src/main/java/org/neo4j/server/rest/security/AuthenticationExceptionMapper.java,L12282,2,0,27,4,0,4,7,0
3461,L12285,SecurityFilter.java,community/server/src/main/java/org/neo4j/server/rest/security/SecurityFilter.java,L12282,7,0,82,11,0,8,505,0
3462,L12286,SecurityRule.java,community/server/src/main/java/org/neo4j/server/rest/security/SecurityRule.java,L12282,1,0,10,14,0,7,2319,0
3463,L12287,UriPathWildcardMatcher.java,community/server/src/main/java/org/neo4j/server/rest/security/UriPathWildcardMatcher.java,L12282,1,0,13,6,0,4,505,0
3464,L12640,BatchOperationResults.java,community/server/src/main/java/org/neo4j/server/rest/batch/BatchOperationResults.java,L12639,6,0,60,4,0,3,2319,0
3465,L12641,BatchOperations.java,community/server/src/main/java/org/neo4j/server/rest/batch/BatchOperations.java,L12639,20,0,148,5,0,3,2319,0
3466,L12642,NonStreamingBatchOperations.java,community/server/src/main/java/org/neo4j/server/rest/batch/NonStreamingBatchOperations.java,L12639,2,0,38,2,0,1,268,0
3467,L12643,StreamingBatchOperationResults.java,community/server/src/main/java/org/neo4j/server/rest/batch/StreamingBatchOperationResults.java,L12639,17,0,115,9,0,5,5350,0
3468,L12834,DiscoveryService.java,community/server/src/main/java/org/neo4j/server/rest/discovery/DiscoveryService.java,L12833,2,0,52,14,0,4,2319,0
3469,L12862,BatchOperationFailedException.java,community/server/src/main/java/org/neo4j/server/rest/domain/BatchOperationFailedException.java,L12861,1,0,11,4,0,3,268,0
3470,L12863,EndNodeNotFoundException.java,community/server/src/main/java/org/neo4j/server/rest/domain/EndNodeNotFoundException.java,L12861,1,0,5,5,0,4,2319,0
3471,L12864,EvaluationException.java,community/server/src/main/java/org/neo4j/server/rest/domain/EvaluationException.java,L12861,1,0,21,5,0,4,2319,0
3472,L12865,EvaluatorFactory.java,community/server/src/main/java/org/neo4j/server/rest/domain/EvaluatorFactory.java,L12861,7,0,128,11,0,6,2472,0
3473,L12866,GraphDatabaseName.java,community/server/src/main/java/org/neo4j/server/rest/domain/GraphDatabaseName.java,L12861,2,0,24,5,0,4,2319,0
3474,L12867,HtmlHelper.java,community/server/src/main/java/org/neo4j/server/rest/domain/HtmlHelper.java,L12861,21,0,168,10,0,7,7,0
3475,L12868,JsonBuildRuntimeException.java,community/server/src/main/java/org/neo4j/server/rest/domain/JsonBuildRuntimeException.java,L12861,1,0,17,5,0,4,2319,0
3476,L12869,JsonHelper.java,community/server/src/main/java/org/neo4j/server/rest/domain/JsonHelper.java,L12861,8,0,77,24,0,11,2319,0
3477,L12870,JsonParseException.java,community/server/src/main/java/org/neo4j/server/rest/domain/JsonParseException.java,L12861,1,0,17,5,0,4,2319,0
3478,L12871,PropertySettingStrategy.java,community/server/src/main/java/org/neo4j/server/rest/domain/PropertySettingStrategy.java,L12861,14,0,129,3,0,1,2319,1
3479,L12872,RelationshipDirection.java,community/server/src/main/java/org/neo4j/server/rest/domain/RelationshipDirection.java,L12861,1,0,13,5,0,4,2319,0
3480,L12873,RelationshipExpanderBuilder.java,community/server/src/main/java/org/neo4j/server/rest/domain/RelationshipExpanderBuilder.java,L12861,11,0,67,7,0,4,2319,0
3481,L12874,StartNodeNotFoundException.java,community/server/src/main/java/org/neo4j/server/rest/domain/StartNodeNotFoundException.java,L12861,1,0,5,5,0,4,2319,0
3482,L12875,StartNodeSameAsEndNodeException.java,community/server/src/main/java/org/neo4j/server/rest/domain/StartNodeSameAsEndNodeException.java,L12861,1,0,5,5,0,4,2319,0
3483,L12876,TraversalDescriptionBuilder.java,community/server/src/main/java/org/neo4j/server/rest/domain/TraversalDescriptionBuilder.java,L12861,28,0,201,14,0,7,505,0
3484,L12877,TraverserReturnType.java,community/server/src/main/java/org/neo4j/server/rest/domain/TraverserReturnType.java,L12861,2,0,49,15,0,7,268,0
3485,L12878,URIHelper.java,community/server/src/main/java/org/neo4j/server/rest/domain/URIHelper.java,L12861,2,0,18,5,0,4,2319,0
3486,L12879,UriToDatabaseMatcher.java,community/server/src/main/java/org/neo4j/server/rest/domain/UriToDatabaseMatcher.java,L12861,4,0,52,5,0,4,2319,0
3487,L14221,DatabasePrimitivesSampleableBase.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/DatabasePrimitivesSampleableBase.java,L14220,1,0,22,9,0,5,2319,0
3488,L14222,MemoryUsedSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/MemoryUsedSampleable.java,L14220,2,0,39,6,0,4,2319,0
3489,L14223,NodeIdsInUseSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/NodeIdsInUseSampleable.java,L14220,1,0,18,9,0,5,2319,0
3490,L14224,PropertyCountSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/PropertyCountSampleable.java,L14220,1,0,18,9,0,5,2319,0
3491,L14225,RelationshipCountSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RelationshipCountSampleable.java,L14220,1,0,18,9,0,5,2319,0
3492,L14226,RequestBytesSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestBytesSampleable.java,L14220,1,0,20,2,0,2,2319,0
3493,L14227,RequestCountSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestCountSampleable.java,L14220,1,0,20,2,0,2,2319,0
3494,L14228,RequestMaxTimeSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestMaxTimeSampleable.java,L14220,1,0,20,2,0,2,2319,0
3495,L14229,RequestMeanTimeSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestMeanTimeSampleable.java,L14220,1,0,20,5,0,4,5350,0
3496,L14230,RequestMedianTimeSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestMedianTimeSampleable.java,L14220,1,0,20,5,0,4,5350,0
3497,L14231,RequestMinTimeSampleable.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/RequestMinTimeSampleable.java,L14220,1,0,20,2,0,2,2319,0
3498,L14232,StatisticSampleableBase.java,community/server/src/main/java/org/neo4j/server/rrd/sampler/StatisticSampleableBase.java,L14220,1,0,27,2,0,2,2319,0
3499,L15190,ConsoleSessionCreator.java,community/server/src/main/java/org/neo4j/server/webadmin/console/ConsoleSessionCreator.java,L15189,1,0,8,3,0,2,1634,0
3500,L15191,ConsoleSessionFactory.java,community/server/src/main/java/org/neo4j/server/webadmin/console/ConsoleSessionFactory.java,L15189,1,0,8,2,0,1,1634,0
3501,L15192,CypherSession.java,community/server/src/main/java/org/neo4j/server/webadmin/console/CypherSession.java,L15189,4,0,39,25,0,8,2472,0
3502,L15193,CypherSessionCreator.java,community/server/src/main/java/org/neo4j/server/webadmin/console/CypherSessionCreator.java,L15189,1,0,16,3,0,2,1634,0
3503,L15194,ScriptSession.java,community/server/src/main/java/org/neo4j/server/webadmin/console/ScriptSession.java,L15189,1,0,6,4,0,3,1296,0
3504,L15195,ShellSession.java,community/server/src/main/java/org/neo4j/server/webadmin/console/ShellSession.java,L15189,12,0,86,2,0,1,1634,0
3505,L15196,ShellSessionCreator.java,community/server/src/main/java/org/neo4j/server/webadmin/console/ShellSessionCreator.java,L15189,1,0,16,3,0,2,1634,0
3506,L15339,AdvertisableService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/AdvertisableService.java,L15338,1,0,6,3,0,2,1126,0
3507,L15340,JmxService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/JmxService.java,L15338,13,0,178,14,0,9,2319,0
3508,L15341,MonitorService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/MonitorService.java,L15338,4,0,85,9,0,6,1296,0
3509,L15342,RootService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/RootService.java,L15338,1,0,25,10,0,7,505,0
3510,L104737,LifecycleService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/LifecycleService.java,L15338,1,0,0,2,0,1,3997,0
3511,L104702,BackupAlreadyRunningException.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/BackupAlreadyRunningException.java,L104701,1,0,0,2,0,1,3997,0
3512,L104703,BackupFailedException.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/BackupFailedException.java,L104701,1,0,0,2,0,1,3997,0
3513,L104704,BackupJobDescriptionRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/BackupJobDescriptionRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3514,L104705,BackupServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/BackupServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3515,L104706,BackupStatusRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/BackupStatusRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3516,L104707,ConsoleServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ConsoleServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3517,L104708,ExceptionRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ExceptionRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3518,L104709,ExportRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ExportRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3519,L104710,ExportServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ExportServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3520,L104711,HiddenServerPropertyRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/HiddenServerPropertyRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3521,L104712,ImportServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ImportServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3522,L104713,JvmArgumentRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/JvmArgumentRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3523,L104714,LifecycleRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/LifecycleRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3524,L104715,LifecycleServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/LifecycleServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3525,L104716,MockIndexService.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/MockIndexService.java,L104701,1,0,0,2,0,1,3997,0
3526,L104717,MonitorServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/MonitorServiceRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3527,L104718,NoBackupFoundationException.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/NoBackupFoundationException.java,L104701,1,0,0,2,0,1,3997,0
3528,L104719,NoBackupPathException.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/NoBackupPathException.java,L104701,1,0,0,2,0,1,3997,0
3529,L104720,NoSuchPropertyException.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/NoSuchPropertyException.java,L104701,1,0,0,2,0,1,3997,0
3530,L104721,RootRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/RootRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3531,L104722,RrdDataRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/RrdDataRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3532,L104723,ServerPropertyRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ServerPropertyRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3533,L104724,ServerRootRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/domain/ServerRootRepresentation.java,L104701,1,0,0,2,0,1,3997,0
3534,L104726,GraphMLReader.java,community/server/src/main/java/org/neo4j/server/webadmin/parser/GraphMLReader.java,L104725,1,0,0,2,0,1,3997,0
3535,L104727,GraphMLTokens.java,community/server/src/main/java/org/neo4j/server/webadmin/parser/GraphMLTokens.java,L104725,1,0,0,2,0,1,3997,0
3536,L104729,ServerConfiguration.java,community/server/src/main/java/org/neo4j/server/webadmin/properties/ServerConfiguration.java,L104728,1,0,0,2,0,1,3997,0
3537,L104730,ServerPropertyDefinitions.java,community/server/src/main/java/org/neo4j/server/webadmin/properties/ServerPropertyDefinitions.java,L104728,1,0,0,2,0,1,3997,0
3538,L104731,ValueDefinition.java,community/server/src/main/java/org/neo4j/server/webadmin/properties/ValueDefinition.java,L104728,1,0,0,2,0,1,3997,0
3539,L104733,FileJoinCompiler.java,community/server/src/main/java/org/neo4j/server/webadmin/resources/FileJoinCompiler.java,L104732,1,0,0,2,0,1,3997,0
3540,L104734,JSCompiler.java,community/server/src/main/java/org/neo4j/server/webadmin/resources/JSCompiler.java,L104732,1,0,0,2,0,1,3997,0
3541,L104735,StaticResourceCompiler.java,community/server/src/main/java/org/neo4j/server/webadmin/resources/StaticResourceCompiler.java,L104732,1,0,0,2,0,1,3997,0
3542,L104736,StaticResourceHandler.java,community/server/src/main/java/org/neo4j/server/webadmin/resources/StaticResourceHandler.java,L104732,1,0,0,2,0,1,3997,0
3543,L104739,DeferredTask.java,community/server/src/main/java/org/neo4j/server/webadmin/task/DeferredTask.java,L104738,1,0,0,2,0,1,3997,0
3544,L104740,GraphMLExporter.java,community/server/src/main/java/org/neo4j/server/webadmin/task/GraphMLExporter.java,L104738,1,0,0,2,0,1,3997,0
3545,L104741,GraphMLImporter.java,community/server/src/main/java/org/neo4j/server/webadmin/task/GraphMLImporter.java,L104738,1,0,0,2,0,1,3997,0
3546,L104742,JvmRestartTask.java,community/server/src/main/java/org/neo4j/server/webadmin/task/JvmRestartTask.java,L104738,1,0,0,2,0,1,3997,0
3547,L104744,FileUtils.java,community/server/src/main/java/org/neo4j/server/webadmin/utils/FileUtils.java,L104743,1,0,0,2,0,1,3997,0
3548,L104745,JmxUtils.java,community/server/src/main/java/org/neo4j/server/webadmin/utils/JmxUtils.java,L104743,1,0,0,2,0,1,3997,0
3549,L104746,PlatformUtils.java,community/server/src/main/java/org/neo4j/server/webadmin/utils/PlatformUtils.java,L104743,1,0,0,2,0,1,3997,0
3550,L16800,DatabaseLocationMustBeSpecifiedRule.java,community/server/src/main/java/org/neo4j/server/configuration/validation/DatabaseLocationMustBeSpecifiedRule.java,L16799,3,0,15,6,0,4,2319,0
3551,L16801,RuleFailedException.java,community/server/src/main/java/org/neo4j/server/configuration/validation/RuleFailedException.java,L16799,1,0,13,6,0,4,2319,0
3552,L16802,ValidationRule.java,community/server/src/main/java/org/neo4j/server/configuration/validation/ValidationRule.java,L16799,1,0,6,6,0,4,2319,0
3553,L16803,Validator.java,community/server/src/main/java/org/neo4j/server/configuration/validation/Validator.java,L16799,5,0,36,14,0,6,5350,0
3554,L16804,WebadminConfigurationRule.java,community/server/src/main/java/org/neo4j/server/configuration/validation/WebadminConfigurationRule.java,L16799,5,0,57,16,0,7,5350,0
3555,L18150,GlobalJavascriptInitializer.java,community/server/src/main/java/org/neo4j/server/scripting/javascript/GlobalJavascriptInitializer.java,L18149,4,0,62,2,0,2,2472,0
3556,L18151,JavascriptExecutor.java,community/server/src/main/java/org/neo4j/server/scripting/javascript/JavascriptExecutor.java,L18149,7,0,87,2,0,2,2472,0
3557,L18152,WhiteListClassShutter.java,community/server/src/main/java/org/neo4j/server/scripting/javascript/WhiteListClassShutter.java,L18149,1,0,16,2,0,2,2472,0
3558,L18153,WhiteListJavaWrapper.java,community/server/src/main/java/org/neo4j/server/scripting/javascript/WhiteListJavaWrapper.java,L18149,13,0,77,2,0,2,2472,0
3559,L6762,CompactJsonFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/CompactJsonFormat.java,L6761,11,0,199,13,0,7,1296,0
3560,L6763,HtmlFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/HtmlFormat.java,L6761,15,0,346,11,0,6,2319,0
3561,L6764,JsonFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/JsonFormat.java,L6761,12,0,115,14,0,8,5350,0
3562,L6765,ListWrappingWriter.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/ListWrappingWriter.java,L6761,1,0,44,3,0,2,1296,0
3563,L6766,MapWrappingWriter.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/MapWrappingWriter.java,L6761,1,0,49,3,0,2,1296,0
3564,L6767,NullFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/NullFormat.java,L6761,7,0,95,10,0,7,505,0
3565,L6768,StreamingJsonFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/StreamingJsonFormat.java,L6761,23,0,299,8,0,3,268,0
3566,L6769,StreamingJsonUtils.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/StreamingJsonUtils.java,L6761,13,0,52,9,0,5,5350,0
3567,L6770,UrlFormFormat.java,community/server/src/main/java/org/neo4j/server/rest/repr/formats/UrlFormFormat.java,L6761,7,0,114,11,0,6,1296,0
3568,L15504,ConsoleService.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/console/ConsoleService.java,L15503,5,0,105,2,0,1,1634,0
3569,L15505,SessionFactoryImpl.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/console/SessionFactoryImpl.java,L15503,6,0,75,3,0,2,1634,0
3570,L15700,ConsoleServiceRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/ConsoleServiceRepresentation.java,L15699,1,0,18,2,0,2,2472,0
3571,L15701,JmxAttributeRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/JmxAttributeRepresentation.java,L15699,3,0,68,7,0,4,1126,0
3572,L15702,JmxAttributeRepresentationDispatcher.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/JmxAttributeRepresentationDispatcher.java,L15699,11,0,160,3,0,2,1126,0
3573,L15703,JmxCompositeDataRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/JmxCompositeDataRepresentation.java,L15699,2,0,44,3,0,2,1126,0
3574,L15704,JmxDomainRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/JmxDomainRepresentation.java,L15699,1,0,31,3,0,2,1126,0
3575,L15705,JmxMBeanRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/JmxMBeanRepresentation.java,L15699,2,0,68,8,0,5,7,0
3576,L15706,NameDescriptionValueRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/NameDescriptionValueRepresentation.java,L15699,1,0,32,3,0,2,1126,0
3577,L15707,RrdDataRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/RrdDataRepresentation.java,L15699,2,0,47,3,0,2,1126,0
3578,L15708,ServerRootRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/ServerRootRepresentation.java,L15699,3,0,41,8,0,5,505,0
3579,L15709,ServiceDefinitionRepresentation.java,community/server/src/main/java/org/neo4j/server/webadmin/rest/representations/ServiceDefinitionRepresentation.java,L15699,6,0,54,2,0,1,3997,0
3580,L2159,BootstrapperTest.java,community/server/src/test/java/org/neo4j/server/BootstrapperTest.java,L2158,1,0,18,6,0,5,505,0
3581,L2160,ServerTestUtils.java,community/server/src/test/java/org/neo4j/server/ServerTestUtils.java,L2158,11,0,139,22,0,9,5350,0
3582,L2161,TestInterruptThreadTimer.java,community/server/src/test/java/org/neo4j/server/TestInterruptThreadTimer.java,L2158,3,0,30,1,0,1,2319,0
3583,L2162,WebTestUtils.java,community/server/src/test/java/org/neo4j/server/WebTestUtils.java,L2158,8,0,55,9,0,4,1126,0
3584,L2339,FunctionalTestHelper.java,community/server/src/test/java/org/neo4j/server/helpers/FunctionalTestHelper.java,L2338,12,0,227,32,0,10,505,0
