,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,Number of bugs
1807,L29281,ZlibUtil.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibUtil.java,L29249,11,0,58,1,12,27,4,0
1808,L29282,ZlibWrapper.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibWrapper.java,L29249,1,0,7,0,5,3,3,0
1809,L31984,JsonObjectDecoder.java,codec/src/main/java/io/netty/handler/codec/json/JsonObjectDecoder.java,L31983,35,0,132,1,5,1649,3,0
1810,L31985,package-info.java,codec/src/main/java/io/netty/handler/codec/json/package-info.java,L31983,1,0,1,0,1,28,1,0
1811,L32213,ChannelBufferByteInput.java,codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteInput.java,L32212,4,0,47,0,9,4057,3,0
1812,L32214,ChannelBufferByteOutput.java,codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteOutput.java,L32212,1,0,31,0,16,4057,3,0
1813,L32215,CompatibleMarshallingDecoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingDecoder.java,L32212,8,0,64,2,19,4057,3,0
1814,L32216,CompatibleMarshallingEncoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingEncoder.java,L32212,1,0,22,0,8,1649,3,0
1815,L32217,ContextBoundUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ContextBoundUnmarshallerProvider.java,L32212,2,0,26,1,6,4057,2,0
1816,L32218,DefaultMarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/DefaultMarshallerProvider.java,L32212,1,0,17,0,3,72,2,0
1817,L32219,DefaultUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/DefaultUnmarshallerProvider.java,L32212,1,0,17,0,3,72,2,0
1818,L32220,LimitingByteInput.java,codec/src/main/java/io/netty/handler/codec/marshalling/LimitingByteInput.java,L32212,5,0,66,0,10,4057,3,0
1819,L32221,MarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallerProvider.java,L32212,1,0,6,0,3,72,2,0
1820,L32222,MarshallingDecoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingDecoder.java,L32212,2,0,39,0,12,1649,3,0
1821,L32223,MarshallingEncoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingEncoder.java,L32212,1,0,26,0,10,1649,3,0
1822,L32224,package-info.java,codec/src/main/java/io/netty/handler/codec/marshalling/package-info.java,L32212,1,0,1,0,6,72,3,0
1823,L32225,ThreadLocalMarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalMarshallerProvider.java,L32212,2,0,24,0,5,4057,3,0
1824,L32226,ThreadLocalUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalUnmarshallerProvider.java,L32212,2,0,24,0,5,4057,3,0
1825,L32227,UnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/UnmarshallerProvider.java,L32212,1,0,6,0,4,72,2,0
1826,L33001,package-info.java,codec/src/main/java/io/netty/handler/codec/protobuf/package-info.java,L33000,1,0,1,0,6,4057,2,0
1827,L33002,ProtobufDecoder.java,codec/src/main/java/io/netty/handler/codec/protobuf/ProtobufDecoder.java,L33000,6,0,65,1,21,4057,3,0
1828,L33003,ProtobufEncoder.java,codec/src/main/java/io/netty/handler/codec/protobuf/ProtobufEncoder.java,L33000,3,0,27,3,23,4057,3,0
1829,L33004,ProtobufVarint32FrameDecoder.java,codec/src/main/java/io/netty/handler/codec/protobuf/ProtobufVarint32FrameDecoder.java,L33000,6,0,35,1,18,4057,3,0
1830,L33005,ProtobufVarint32LengthFieldPrepender.java,codec/src/main/java/io/netty/handler/codec/protobuf/ProtobufVarint32LengthFieldPrepender.java,L33000,1,0,22,0,16,1,4,0
1831,L33460,CachingClassResolver.java,codec/src/main/java/io/netty/handler/codec/serialization/CachingClassResolver.java,L33459,2,0,21,0,3,4057,1,0
1832,L33461,ClassLoaderClassResolver.java,codec/src/main/java/io/netty/handler/codec/serialization/ClassLoaderClassResolver.java,L33459,2,0,15,0,4,4057,1,0
1833,L33462,ClassResolver.java,codec/src/main/java/io/netty/handler/codec/serialization/ClassResolver.java,L33459,1,0,4,0,3,4057,1,0
1834,L33463,ClassResolvers.java,codec/src/main/java/io/netty/handler/codec/serialization/ClassResolvers.java,L33459,3,0,43,0,11,1649,2,0
1835,L33464,CompactObjectInputStream.java,codec/src/main/java/io/netty/handler/codec/serialization/CompactObjectInputStream.java,L33459,6,0,51,0,8,4057,2,0
1836,L33465,CompactObjectOutputStream.java,codec/src/main/java/io/netty/handler/codec/serialization/CompactObjectOutputStream.java,L33459,5,0,28,1,6,72,2,0
1837,L33466,CompatibleObjectEncoder.java,codec/src/main/java/io/netty/handler/codec/serialization/CompatibleObjectEncoder.java,L33459,6,0,52,2,22,4057,3,0
1838,L33467,ObjectDecoder.java,codec/src/main/java/io/netty/handler/codec/serialization/ObjectDecoder.java,L33459,2,0,33,0,12,27,3,0
1839,L33468,ObjectDecoderInputStream.java,codec/src/main/java/io/netty/handler/codec/serialization/ObjectDecoderInputStream.java,L33459,6,0,146,0,6,4057,1,0
1840,L33469,ObjectEncoder.java,codec/src/main/java/io/netty/handler/codec/serialization/ObjectEncoder.java,L33459,1,0,25,0,14,4057,3,0
1841,L33470,ObjectEncoderOutputStream.java,codec/src/main/java/io/netty/handler/codec/serialization/ObjectEncoderOutputStream.java,L33459,4,0,110,0,10,72,2,0
1842,L33471,package-info.java,codec/src/main/java/io/netty/handler/codec/serialization/package-info.java,L33459,1,0,1,0,4,4057,1,0
1843,L33472,ReferenceMap.java,codec/src/main/java/io/netty/handler/codec/serialization/ReferenceMap.java,L33459,3,0,68,0,4,4057,1,0
1844,L33473,SoftReferenceMap.java,codec/src/main/java/io/netty/handler/codec/serialization/SoftReferenceMap.java,L33459,1,0,13,0,6,4057,2,0
1845,L33474,WeakReferenceMap.java,codec/src/main/java/io/netty/handler/codec/serialization/WeakReferenceMap.java,L33459,1,0,13,0,6,4057,2,0
1846,L34057,package-info.java,codec/src/main/java/io/netty/handler/codec/string/package-info.java,L34056,1,0,1,0,5,4057,1,0
1847,L34058,StringDecoder.java,codec/src/main/java/io/netty/handler/codec/string/StringDecoder.java,L34056,2,0,28,1,19,4057,3,0
1848,L34059,StringEncoder.java,codec/src/main/java/io/netty/handler/codec/string/StringEncoder.java,L34056,3,0,31,0,25,1649,3,0
1849,L34202,package-info.java,codec/src/main/java/io/netty/handler/codec/xml/package-info.java,L34201,1,0,1,0,1,2,1,0
1850,L34203,XmlFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/xml/XmlFrameDecoder.java,L34201,51,0,126,1,4,1649,3,0
1851,L8302,ByteToMessageDecoderTest.java,codec/src/test/java/io/netty/handler/codec/ByteToMessageDecoderTest.java,L8301,3,0,122,1,5,1649,3,0
1852,L8303,DelimiterBasedFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/DelimiterBasedFrameDecoderTest.java,L8301,1,0,67,0,6,1649,4,0
1853,L8304,LengthFieldBasedFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/LengthFieldBasedFrameDecoderTest.java,L8301,5,0,58,1,3,4057,2,0
1854,L8305,LineBasedFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/LineBasedFrameDecoderTest.java,L8301,4,0,74,0,5,1649,3,0
1855,L8306,MessageToMessageEncoderTest.java,codec/src/test/java/io/netty/handler/codec/MessageToMessageEncoderTest.java,L8301,1,0,17,0,1,1649,1,0
1856,L8307,ReplayingDecoderBufferTest.java,codec/src/test/java/io/netty/handler/codec/ReplayingDecoderBufferTest.java,L8301,8,0,64,2,9,1649,4,0
1857,L8308,ReplayingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/ReplayingDecoderTest.java,L8301,3,0,165,5,29,1649,3,0
1858,L29029,ByteArrayDecoderTest.java,codec/src/test/java/io/netty/handler/codec/bytes/ByteArrayDecoderTest.java,L29028,1,0,34,0,15,4057,1,0
1859,L29030,ByteArrayEncoderTest.java,codec/src/test/java/io/netty/handler/codec/bytes/ByteArrayEncoderTest.java,L29028,1,0,42,0,18,4057,2,0
1860,L29284,Bzip2DecoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/Bzip2DecoderTest.java,L29283,5,0,191,0,7,27,3,0
1861,L29285,Bzip2EncoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/Bzip2EncoderTest.java,L29283,5,0,86,0,4,27,2,0
1862,L29286,Bzip2IntegrationTest.java,codec/src/test/java/io/netty/handler/codec/compression/Bzip2IntegrationTest.java,L29283,1,0,31,0,2,27,1,0
1863,L29287,IntegrationTest.java,codec/src/test/java/io/netty/handler/codec/compression/IntegrationTest.java,L29283,11,0,125,0,1,27,1,0
1864,L29288,JdkZlibTest.java,codec/src/test/java/io/netty/handler/codec/compression/JdkZlibTest.java,L29283,1,0,17,0,5,4057,3,0
1865,L29289,JZlibTest.java,codec/src/test/java/io/netty/handler/codec/compression/JZlibTest.java,L29283,1,0,11,0,8,1649,4,0
1866,L29290,LzfDecoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/LzfDecoderTest.java,L29283,3,0,103,0,1,27,1,0
1867,L29291,LzfEncoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/LzfEncoderTest.java,L29283,3,0,72,0,1,27,1,0
1868,L29292,LzfIntegrationTest.java,codec/src/test/java/io/netty/handler/codec/compression/LzfIntegrationTest.java,L29283,1,0,12,0,2,27,1,0
1869,L29293,SnappyFramedDecoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/SnappyFramedDecoderTest.java,L29283,1,0,108,0,8,1,4,0
1870,L29294,SnappyFramedEncoderTest.java,codec/src/test/java/io/netty/handler/codec/compression/SnappyFramedEncoderTest.java,L29283,3,0,113,0,12,1,5,0
1871,L29295,SnappyIntegrationTest.java,codec/src/test/java/io/netty/handler/codec/compression/SnappyIntegrationTest.java,L29283,4,0,75,2,15,27,5,0
1872,L29296,SnappyTest.java,codec/src/test/java/io/netty/handler/codec/compression/SnappyTest.java,L29283,1,0,149,0,6,17,2,0
1873,L29297,ZlibCrossTest1.java,codec/src/test/java/io/netty/handler/codec/compression/ZlibCrossTest1.java,L29283,1,0,11,1,1,4057,1,0
1874,L29298,ZlibCrossTest2.java,codec/src/test/java/io/netty/handler/codec/compression/ZlibCrossTest2.java,L29283,1,0,17,1,3,4057,2,0
1875,L29299,ZlibTest.java,codec/src/test/java/io/netty/handler/codec/compression/ZlibTest.java,L29283,19,0,255,2,11,1649,3,0
1876,L31987,JsonObjectDecoderTest.java,codec/src/test/java/io/netty/handler/codec/json/JsonObjectDecoderTest.java,L31986,2,0,174,0,3,4057,2,0
1877,L32229,AbstractCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/AbstractCompatibleMarshallingDecoderTest.java,L32228,1,0,87,1,15,4057,3,0
1878,L32230,AbstractCompatibleMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/AbstractCompatibleMarshallingEncoderTest.java,L32228,1,0,43,0,12,4057,1,0
1879,L32231,RiverCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverCompatibleMarshallingDecoderTest.java,L32228,1,0,16,0,2,4057,1,0
1880,L32232,RiverCompatibleMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverCompatibleMarshallingEncoderTest.java,L32228,1,0,16,0,3,4,2,0
1881,L32233,RiverContextBoundCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverContextBoundCompatibleMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1882,L32234,RiverContextBoundMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverContextBoundMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1883,L32235,RiverMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverMarshallingDecoderTest.java,L32228,2,0,30,1,11,4057,3,0
1884,L32236,RiverMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverMarshallingEncoderTest.java,L32228,1,0,14,0,6,4057,2,0
1885,L32237,RiverThreadLocalCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverThreadLocalCompatibleMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1886,L32238,RiverThreadLocalCompatibleMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverThreadLocalCompatibleMarshallingEncoderTest.java,L32228,1,0,7,0,3,4057,1,0
1887,L32239,RiverThreadLocalMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverThreadLocalMarshallingDecoderTest.java,L32228,1,0,9,0,6,4,3,0
1888,L32240,RiverThreadLocalMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/RiverThreadLocalMarshallingEncoderTest.java,L32228,1,0,7,0,3,4057,1,0
1889,L32241,SerialCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialCompatibleMarshallingDecoderTest.java,L32228,1,0,16,0,2,4057,1,0
1890,L32242,SerialCompatibleMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialCompatibleMarshallingEncoderTest.java,L32228,1,0,16,0,3,4,2,0
1891,L32243,SerialContextBoundCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialContextBoundCompatibleMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1892,L32244,SerialContextBoundMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialContextBoundMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1893,L32245,SerialMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialMarshallingDecoderTest.java,L32228,2,0,30,1,11,4057,3,0
1894,L32246,SerialMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialMarshallingEncoderTest.java,L32228,1,0,14,0,7,4,3,0
1895,L32247,SerialThreadLocalCompatibleMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialThreadLocalCompatibleMarshallingDecoderTest.java,L32228,1,0,9,0,3,4,2,0
1896,L32248,SerialThreadLocalCompatibleMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialThreadLocalCompatibleMarshallingEncoderTest.java,L32228,1,0,7,0,2,4057,1,0
1897,L32249,SerialThreadLocalMarshallingDecoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialThreadLocalMarshallingDecoderTest.java,L32228,1,0,9,0,6,4,3,0
1898,L32250,SerialThreadLocalMarshallingEncoderTest.java,codec/src/test/java/io/netty/handler/codec/marshalling/SerialThreadLocalMarshallingEncoderTest.java,L32228,1,0,7,0,3,4057,1,0
1899,L33007,ProtobufVarint32FrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/protobuf/ProtobufVarint32FrameDecoderTest.java,L33006,2,0,44,0,12,1649,2,0
1900,L33008,ProtobufVarint32LengthFieldPrependerTest.java,codec/src/test/java/io/netty/handler/codec/protobuf/ProtobufVarint32LengthFieldPrependerTest.java,L33006,2,0,33,0,11,1649,2,0
1901,L33476,CompactObjectSerializationTest.java,codec/src/test/java/io/netty/handler/codec/serialization/CompactObjectSerializationTest.java,L33475,1,0,17,0,4,4057,1,0
1902,L34061,StringEncoderTest.java,codec/src/test/java/io/netty/handler/codec/string/StringEncoderTest.java,L34060,1,0,21,0,3,4057,2,0
1903,L34205,XmlFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/xml/XmlFrameDecoderTest.java,L34204,7,0,143,0,7,4057,2,0
1904,L34377,DelimiterBasedFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/frame/DelimiterBasedFrameDecoderTest.java,L34376,5,0,45,0,16,1649,2,0
1905,L34378,LengthFieldBasedFrameDecoderTest.java,codec/src/test/java/io/netty/handler/codec/frame/LengthFieldBasedFrameDecoderTest.java,L34376,5,0,46,0,18,1649,2,0
1906,L34379,LengthFieldPrependerTest.java,codec/src/test/java/io/netty/handler/codec/frame/LengthFieldPrependerTest.java,L34376,2,0,62,0,7,4057,3,0
1907,L34380,package-info.java,codec/src/test/java/io/netty/handler/codec/frame/package-info.java,L34376,1,0,1,0,1,4,1,0
1908,L8319,DnsClass.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsClass.java,L8318,15,0,90,0,2,4057,2,0
1909,L8320,DnsEntry.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsEntry.java,L8318,8,0,55,1,4,4057,3,0
1910,L8321,DnsHeader.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsHeader.java,L8318,2,0,67,0,1,1649,1,0
1911,L8322,DnsMessage.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsMessage.java,L8318,14,0,147,0,1,1649,1,0
1912,L8323,DnsQuery.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsQuery.java,L8318,2,0,63,0,1,1649,1,0
1913,L8324,DnsQueryEncoder.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsQueryEncoder.java,L8318,4,0,45,0,3,4057,3,0
1914,L8325,DnsQueryHeader.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsQueryHeader.java,L8318,2,0,40,0,1,1649,1,0
1915,L8326,DnsQuestion.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsQuestion.java,L8318,3,0,24,1,3,1,3,0
1916,L8327,DnsResource.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsResource.java,L8318,1,0,59,1,3,1649,2,0
1917,L8328,DnsResponse.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsResponse.java,L8318,2,0,63,0,1,1649,1,0
1918,L8329,DnsResponseCode.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsResponseCode.java,L8318,18,0,85,0,1,1649,1,0
1919,L8330,DnsResponseDecoder.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsResponseDecoder.java,L8318,15,0,112,1,6,1649,4,0
1920,L8331,DnsResponseHeader.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsResponseHeader.java,L8318,2,0,70,0,1,1649,1,0
1921,L8332,DnsType.java,codec-dns/src/main/java/io/netty/handler/codec/dns/DnsType.java,L8318,5,0,117,0,2,4057,2,0
1922,L8333,package-info.java,codec-dns/src/main/java/io/netty/handler/codec/dns/package-info.java,L8318,1,0,1,0,1,1649,1,0
1923,L8341,DnsClassTest.java,codec-dns/src/test/java/io/netty/handler/codec/dns/DnsClassTest.java,L8340,9,0,50,0,2,4057,2,0
1924,L8342,DnsQueryTest.java,codec-dns/src/test/java/io/netty/handler/codec/dns/DnsQueryTest.java,L8340,2,0,36,0,2,1,2,0
1925,L8343,DnsResponseTest.java,codec-dns/src/test/java/io/netty/handler/codec/dns/DnsResponseTest.java,L8340,2,0,81,1,5,1649,3,0
1926,L8344,DnsTypeTest.java,codec-dns/src/test/java/io/netty/handler/codec/dns/DnsTypeTest.java,L8340,9,0,50,0,2,4057,2,0
1927,L8345,package-info.java,codec-dns/src/test/java/io/netty/handler/codec/dns/package-info.java,L8340,1,0,1,0,1,1649,1,0
1928,L9326,HAProxyCommand.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyCommand.java,L9325,3,0,24,0,1,4057,1,0
1929,L9327,HAProxyConstants.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyConstants.java,L9325,1,0,22,0,1,4057,1,0
1930,L9328,HAProxyMessage.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyMessage.java,L9325,45,0,272,0,3,27,2,0
1931,L9329,HAProxyMessageDecoder.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyMessageDecoder.java,L9325,36,0,216,0,1,4057,1,0
1932,L9330,HAProxyProtocolException.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyProtocolException.java,L9325,1,0,15,0,2,4057,1,0
1933,L9331,HAProxyProtocolVersion.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyProtocolVersion.java,L9325,3,0,25,0,2,4057,1,0
1934,L9332,HAProxyProxiedProtocol.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/HAProxyProxiedProtocol.java,L9325,15,0,107,0,2,4057,1,0
1935,L9333,package-info.java,codec-haproxy/src/main/java/io/netty/handler/codec/haproxy/package-info.java,L9325,1,0,1,0,1,4057,1,0
1936,L9341,HAProxyMessageDecoderTest.java,codec-haproxy/src/test/java/io/netty/handler/codec/haproxy/HAProxyMessageDecoderTest.java,L9340,5,0,761,0,1,4057,1,0
1937,L9870,AbstractHttp2ConnectionHandler.java,codec-http2/src/main/java/io/netty/handler/codec/http2/AbstractHttp2ConnectionHandler.java,L9869,100,0,735,0,17,86,4,0
1938,L9871,DefaultHttp2Connection.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2Connection.java,L9869,66,0,577,0,10,86,3,3
1939,L9872,DefaultHttp2FrameReader.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2FrameReader.java,L9869,66,0,486,0,6,86,3,1
1940,L9873,DefaultHttp2FrameWriter.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2FrameWriter.java,L9869,36,0,367,0,8,86,3,0
1941,L9874,DefaultHttp2Headers.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2Headers.java,L9869,50,0,365,0,1,86,1,1
1942,L9875,DefaultHttp2HeadersDecoder.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2HeadersDecoder.java,L9869,3,0,46,0,1,86,1,1
1943,L9876,DefaultHttp2HeadersEncoder.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2HeadersEncoder.java,L9869,5,0,51,0,1,86,1,1
1944,L9877,DefaultHttp2InboundFlowController.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2InboundFlowController.java,L9869,14,0,120,0,3,86,1,0
1945,L9878,DefaultHttp2OutboundFlowController.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2OutboundFlowController.java,L9869,37,0,350,0,7,86,3,0
1946,L9879,DefaultHttp2StreamRemovalPolicy.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DefaultHttp2StreamRemovalPolicy.java,L9869,7,0,63,0,1,86,1,0
1947,L9880,DelegatingHttp2ConnectionHandler.java,codec-http2/src/main/java/io/netty/handler/codec/http2/DelegatingHttp2ConnectionHandler.java,L9869,1,0,122,0,6,86,2,0
1948,L9881,FlowState.java,codec-http2/src/main/java/io/netty/handler/codec/http2/FlowState.java,L9869,1,0,4,0,1,86,1,0
1949,L9882,Http2ClientUpgradeCodec.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2ClientUpgradeCodec.java,L9869,4,0,69,0,4,86,2,0
1950,L9883,Http2CodecUtil.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2CodecUtil.java,L9869,8,0,110,0,8,86,3,1
1951,L9884,Http2Connection.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Connection.java,L9869,1,0,43,0,7,86,1,2
1952,L9885,Http2ConnectionAdapter.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2ConnectionAdapter.java,L9869,1,0,27,0,2,86,1,0
1953,L9886,Http2Error.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Error.java,L9869,1,0,23,0,2,86,1,0
1954,L9887,Http2Exception.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Exception.java,L9869,1,0,28,0,1,86,1,0
1955,L9888,Http2Flags.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Flags.java,L9869,13,0,116,0,3,86,2,0
1956,L9889,Http2FrameAdapter.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameAdapter.java,L9869,1,0,55,0,3,86,1,0
1957,L9890,Http2FrameLogger.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameLogger.java,L9869,4,0,94,0,4,86,1,1
1958,L9891,Http2FrameObserver.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameObserver.java,L9869,1,0,26,0,4,86,2,0
1959,L9892,Http2FrameReader.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameReader.java,L9869,1,0,12,0,3,86,1,0
1960,L9893,Http2FrameTypes.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameTypes.java,L9869,1,0,15,0,1,86,1,0
1961,L9894,Http2FrameWriter.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2FrameWriter.java,L9869,1,0,36,0,3,86,2,0
1962,L9895,Http2Headers.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Headers.java,L9869,9,0,125,0,2,4057,2,1
1963,L9896,Http2HeadersDecoder.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2HeadersDecoder.java,L9869,1,0,7,0,1,86,1,1
1964,L9897,Http2HeadersEncoder.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2HeadersEncoder.java,L9869,1,0,7,0,1,86,1,0
1965,L9898,Http2InboundFlowController.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2InboundFlowController.java,L9869,1,0,11,0,3,86,1,0
1966,L9899,Http2InboundFrameLogger.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2InboundFrameLogger.java,L9869,3,0,116,0,3,86,1,0
1967,L9900,Http2OrHttpChooser.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2OrHttpChooser.java,L9869,9,0,80,0,3,86,1,0
1968,L9901,Http2OutboundFlowController.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2OutboundFlowController.java,L9869,1,0,14,0,5,86,2,0
1969,L9902,Http2OutboundFrameLogger.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2OutboundFrameLogger.java,L9869,3,0,105,0,3,86,2,0
1970,L9903,Http2ServerUpgradeCodec.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2ServerUpgradeCodec.java,L9869,4,0,100,0,4,86,2,0
1971,L9904,Http2Settings.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Settings.java,L9869,17,0,90,0,6,86,3,1
1972,L9905,Http2Stream.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2Stream.java,L9869,1,0,45,0,3,86,1,0
1973,L9906,Http2StreamException.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2StreamException.java,L9869,1,0,16,0,1,86,1,0
1974,L9907,Http2StreamRemovalPolicy.java,codec-http2/src/main/java/io/netty/handler/codec/http2/Http2StreamRemovalPolicy.java,L9869,1,0,8,0,2,4057,2,0
1975,L9908,package-info.java,codec-http2/src/main/java/io/netty/handler/codec/http2/package-info.java,L9869,1,0,1,0,1,86,1,0
1976,L9916,DefaultHttp2ConnectionTest.java,codec-http2/src/test/java/io/netty/handler/codec/http2/DefaultHttp2ConnectionTest.java,L9915,1,0,316,0,5,86,1,0
1977,L9917,DefaultHttp2FrameIOTest.java,codec-http2/src/test/java/io/netty/handler/codec/http2/DefaultHttp2FrameIOTest.java,L9915,2,0,286,0,8,86,3,0
